name	ratings	date	helpful	comment
강진영	1	2021-06-03	24	쿠팡이츠 사용하는 업소지만..어떤때는 배차가 빠르다가도 어떤때는 음식이 나왔는데도 배차가 안되어있습니다.. 일일히 쿠팡센터에 전화해서 배차문의하기가 막상 힘이듬. 식어가는 음식을 볼때마다 속이 타들어갑니다..
이한우	1	2021-06-01	190	평점을 주는것은 고객이지만 배송이 늦은게 아니고 어떤 매장은 도착해서 20~50분 대기하고 픽업하는데 배달하고 나면 늦어서 불만이고 또 빌라 출입구 비번도 없는데 벨 누르지 말라고 코멘트되어 있는데 어찌배달하라는건지 문 앞에서 5분이상 기다리다 전화하면 짜증내며 벨 누르고 배달하면되지 하며 하여간 .... 이런 소리나 하고 점수 그지같이 주고 내가 돈이없어 배달하는것도 아니고 겸사겸사 운동도 되고 용돈벌이도 되서 시작했는데 정말 쓰레기 같은 고객이 많습니다. 예전에는 어느 아파트23층 피자배달을 갔는데 대면해서 받겠다하여 초인종 누르고 기다리니 쓰레기 봉투 가져나와 내려가는데 버려달라고 하더군요 그지같았는데 점수 나빠질까봐 버려줬내요 배달하는 분들이 메뉴얼데로 해도 점수 못 받는건 누가 의견 들어주고 처리해주는지요.
David K	1	2021-05-19	184	"쿠폰 적용되는 최소 주문 금액 숨겨놓고 있다가 주문할때 뒤통수 때림. 무슨 햄버거 주문하는데 1.8만원 이상시 쓸수 있게 해놓음. 그리고 일반 사용자가 받을수 있는 할인액을 먼저 표시해놔야지 들어가보면 ""최초 주문시 최대 얼마!"" 이런식임. 아무튼 과장 광고 너무 심함. 실제론 타 어플에 비해서 실속없는 할인들."
Shiney Kim	1	2021-06-06	21	별 1개도 아깝다. 치타배달이라 시켰는데 집앞에서 배달원 바뀌고 40분 더 늘어남. 고객센터에 전화해보니 가게에서 준비가 늦어져서 배달원이 취소해가지고 재배치된거라네ㅋㅋ 그럼 집앞까지는 왜옴? 가게에 전화해보니 빨리준비했는데 배달원이 안온거고 이런경우가 너무많아서 힘들다고 제발 쿠팡이츠 쓰지말고 배민써달라고한다!!! 상담원 이제 거짓말도하니 걍 안쓰는거 추천. 어차피 배달 점점 늦어져서 배민이랑 오는시간도 똑같음
이뭉디	2	2021-06-05	97	"어플이 배민에 비해 많이 뒤쳐지는이유가 있네용 자주 안써보긴 했지만 어디서 뭘 찾는지도 보기힘들고 제가주문한곳 요청 사항이 잘지켜지지 않아서 리뷰남기랴고 하는데 주문내역이 몇분동안 계속 안떠서 한참기다렸다가 썻어요 새로고침을 몇번했는지,,, 후 쿠팡이츠는 배달할때 뽑는 영수증에 배달요청사항 글이 안적히게 나오나요? 기사님이 못보신건지 그냥 실수하신건지..참.."
정지나	1	2021-06-01	29	별1개도 아까움진짜ㅋㅋ고객센터 대처가 진짜 똥이네요 배달예정시간보다 30분이지나서 전화드렸더니 가게에서는 주문한고객님주소랑 전화번호도 모르신다고 자기네들도 쿠팡에전화했는데 연락이없다하시고 음식은 이미 다만들어놨는데 식어서 보낼수도없다해서 고객센터에전화했더니 다시조리해서 보내주게끔해야지 환불취소 띡 해주고 자기네들도 5천원쿠폰준다네요ㅋㅋㅋㅋ그럼 다시 우리가 시켜야되냐니까 그렇다길래 이번에시키면 배달배정은바로되냐니까 하는말이 시키고 또 지연되면 연락달라네요ㅋㅋㅋㅋ그럼 또시키고 지연될때까지 기다린다음에 전화해서 또환불받으라는건지?ㅋㅋ
강日	1	2021-06-03	70	배달주문한지 한시간이 넘어도 배달이 안와 취소 안내문자로 전화했지만 상담원이 부족한건지 연결이 되지않아 가게에 직접 전화해서 취소문의를 했습니다 다행히 전화를걸자 배정이 되서 그대로 배달진행해달라고했지만 배정이 이렇게까지 늦게되면 음식을주문한 사람은 기다리다 지치고 음식을 준비한곳은 헛고생을 하게 되는것같아 이용하기 꺼려지내요
D_w Won	5	2021-05-31	65	"실시간 위치확인이 되는 점이 너무좋음. 배달 빠른 것도 좋고, 대신에 UI 는 좀 바뀌었으면 좋겠음 ㅠ 너무 허접해보임. 그리고 별개로 이츠 알바 뛰는 분들 제발 번지수 못찾는 길치면 하지마세요. 이 시국에 대면하기 싫은데 집 못찾겠다고 전화로 징징거려서 나가서 받은 적이 여러번 있음. 진짜 개짜증남. 특히 자동차로 배달하는 사람들은 10명 중 3명이 집을 못찾음 개빡쳐"
전갈	1	2021-06-07	47	진짜 별 한개도 아깝네요. 배달이 너무 느립니다. 절대 쓰지마세요. 무슨 제주도갔다오는게 훨씬 빨라요. 기다리다가 짜증이나서 못먹겠네요. 그냥 음식배달은 접으세요
daoyan Van	3	2021-06-05	56	"다 좋은데요. 음식 준비 시간보다 픽업장소 도착 시간이 1초든 1분이든 더 소요되는 위치에서 출발하는 ""자동차배달""은 알아서 신청(?)을 할수 없게 하는 알고리즘이 시급하네요.. 진짜 싫네요. 따뜻한 커피와 베이글을 매일 주문하는데 자동차 배달뜨면 일단 식어서 오고 좀 짜증납니다.."
